上海锦沧文华大酒店  ,021-62791822,021-62791888
上海浦东丽思卡尔顿酒店 ,021-20201117,021-20201888
上海中福世福汇大酒店 ,021-63558000,021-53524888
上海中环国际酒店 ,021-61815880（双休日、节假日）,021-61815888
上海艾福敦酒店 ,021-61659522,021-61006888
上海城市酒店  ,021-62550211,021-62551133
上海光大会展中心国际大酒店  ,021-64845699,021-64842500
上海衡山金仓永华大酒店 ,021-36306552,021-36114580
上海巨鹿花园别墅 ,021-64456101,021-64457390
上海拉卡菲大酒店 ,021-58955983,021-58558558
上海丽悦酒店 ,021-38522223,021-38522222
上海美兰湖国际会议中心 ,021-60821827,021-61851388
上海南航明珠大酒店 ,021-20213690,021-20213333
上海浦东丽晟假日酒店  ,021-58815588,021-68629988
上海齐鲁万怡大酒店  ,021-68867889,021-68867886
上海天诚大酒店 ,021-53961910,021-53961777
上海徐汇盛捷服务公寓 ,021-64664646,021-64660888
上海西藏大厦万怡酒店 ,021-61292688,021-61292888
上海西藏大厦万怡酒店 ,021-61292688,021-61292888
上海最佳西方浦东圣莎大酒店 ,021-58993999,021-58991888
上海亨利酒店 ,021-51961152,021-51308765
上海金门大酒店  ,021-63723634,021-53529898
上海圣伦蘭全套房精品酒店 ,021-34313013,021-34318211
上海紫京大酒店 ,021-69616606,021-59616868
富驿时尚酒店（上海新国际博览中心店） ,021-51968383,021-51968388
格林联盟（上海虹桥机场枢纽店） ,021-33732588,021-33732688
汉庭快捷酒店（上海徐家汇二店） ,021-64360693,021-64081122
如家快捷酒店（上海宝山吴淞店） ,021-56585877,021-56580900
如家快捷酒店（上海漕河泾中环漕宝路店） ,021-51768897,021-51768888
如家快捷酒店（上海火车站南广场店） ,021-63538205,021-63178855-0
如家快捷酒店（上海静安陕西北路店） ,021-62584026,021-62536395
如家快捷酒店（上海南站店） ,021-67286020,021-67286888
如家快捷酒店（上海浦东南浦大桥店）（原上海塘桥南浦大桥店） ,021-50906018,021-50901808
如家快捷酒店（上海世博外滩南浦大桥店） ,021-33767299,021-33767667
如家快捷酒店（上海五角场店） ,021-51154477,021-51171177
如家快捷酒店（上海徐家汇光大店） ,021-54972900,021-64083377
如家快捷酒店（上海中山公园延安西路店） ,021-52379293,021-32024777
上海景程宾馆 ,021-51277918,021-51277988、51277918
上海嘉娜宾馆 ,021-63308338,021-63300022
上海七宝老街速8酒店 ,021-64785880,021-64788998
雅约臻品酒店（上海恒逸店） ,021-51057799,021-51056788
上海富豪会展公寓酒店 ,021-68659777,021-68659777
上海雅诗阁淮海路服务公寓 ,021-23298899,021-23298888
上海雅诗阁淮海路服务公寓 ,021-23298899,021-23298888
上海浦东世博星程精品金尚酒店 ,021-58831488,021-58832000
上海新黄浦酒店公寓 ,021-63367257,021-63551889
上海静安星程赣园宾馆  ,021-62719908,021-62727258
上海财大豪生大酒店 ,021-55579998,021-55579999
上海东锦江大酒店  ,021-58891122,021-50504888
上海龙之梦大酒店  ,021-61159705,021-61159988
上海悦隆酒店 ,021-34679688,021-54886699
上海芭提雅假日酒店 ,021-65886777,021-65887878
上海国际饭店  ,021-63276958,021-63275225
上海鸿酒店 ,021-58889722,021-58828882
上海虹桥宾馆  ,021-62753736,021-62753388
上海九龙宾馆  ,021-65417711,021-65418228
上海美豪多伦酒店 ,021-56963390,021-56966969
上海南鹰饭店 ,021-64747679,021-64378188
上海浦东华美达大酒店  ,021-50308999,021-50554666
上海浦东华美达花廷酒店 ,021-50787777,021-50789999
上海浦东假日酒店  ,021-58305555,021-58306666
上海瑞泰静安酒店 ,021-62184778,021-62722222
上海五角场华美达大酒店 ,021-55052999,021-55509999
上海雅客滨江酒店式服务公寓 ,021-51337722,021-51337733
上海颐美庭园酒店 ,021-61265881,021-61265888
美卡商务酒店（上海新华路店） ,021-52529155,021-52582000
上海瑞泰虹桥酒店 ,021-62740332,021-62419600
上海雅舍宾馆 ,021-64869088,021-64389900
上海那宅酒店 ,021-65840772,021-65417062
虹桥喜来登上海太平洋大饭店  ,021-62755420,021-62758888
上海安达仕酒店 ,021-23101235,021-23101234
上海巴黎春天新世界酒店 ,021-62105500,021-62408888
上海波特曼丽嘉酒店  ,021-62798800,021-62798888
上海柏悦酒店 ,021-68883400,021-68881234
上海淳大万丽酒店  ,021-38714881,021-38714888
上海东方佘山索菲特大酒店 ,021-37611999,021-37618888
上海宏安瑞士大酒店 ,021-62887232,021-53559898
上海虹口三至喜来登酒店 ,021-26010099,021-26010088
上海虹桥金古源豪生大酒店 ,021-62212067,021-52278888
上海虹桥枢纽和颐酒店(原上海晶达丽酒店) ,021-64598399,021-64785678
上海虹桥云峰宾馆 ,021-62758374,021-51709300
上海虹桥元一希尔顿酒店 ,021-33236999,021-33236666
