杭州西湖金座大酒店 ,0571-87927777,0571-87926666
3B（三碧）酒店（杭州萧山恒隆店） ,0571-83870707,0571-83860000
汉庭全季酒店（杭州黄龙店） ,0571-87968853,0571-87977999
汉庭全季酒店（杭州武林路店）（原汉庭酒店杭州武林路店） ,0571-58585199,0571-58585188
杭州滨江梦尔假日酒店 ,0571-28139188,0571-28132999
杭州百瑞四季酒店 ,0571-28021118,0571-28021188
杭州百味人生大酒店  ,0571-87773350,0571-87773363
杭州宝衣商务酒店 ,0571-28937999,0571-28937888
杭州财富中心酒店式公寓 ,0571-85099006,0571-85198000
杭州茶人居·璞瑞酒店 ,0571-87087932,0571-88959222
杭州东方假日宾馆 ,0571-85369111,0571-85358888-8105
杭州东方金座公寓酒店 ,0571-88185908,0571-87299908
杭州定和商务酒店 ,0571-86637080,0571-86433333
杭州富电大酒店  ,0571-87067157,0571-87067477
杭州凤皇雅岸国际假日酒店 ,0571-26273399,0571-26270000
杭州凤起饭店  ,0571-87065153,0571-51215888
杭州光华宾馆  ,0571-83699125,0571-82609888
杭州华北饭店（浙江省军区第一招待所） ,0571-87980191,0571-87980486
杭州和宾假日酒店（滨江店） ,0571-86503888,0571-56072888
杭州华辰假日宾馆 ,0571-86055988,0571-86086666
杭州湖光饭店  ,0571-88256999,0571-88075598
杭州宏丽宾馆  ,0571-86958876,0571-86999888
杭州和丽酒店 ,0571-87718000,0571-86758888
杭州汉马假日酒店 ,0571-22830158,0571-22882888
杭州华侨饭店  ,0571-87074953,0571-87685555
杭州海外海智选假日酒店（原海外海快捷假日酒店） ,0571-88355918,0571-88318888
杭州华园宾馆 ,0571-85107356,0571-85867009
杭州翰悦酒店 ,0571-85851222,0571- 85851555
杭州锦诚采荷大酒店 ,0571-86970032,0571-28030333
杭州嘉鼎国际酒店 ,0571-88197666,0571-88181388
杭州巨化宾馆  ,0571-87808725,0571-87816969
杭州骏辉大酒店 ,0571-28177388,0571-28827888
杭州金苑宾馆 ,0571-87138166,0571-87065500
杭州金垚假日大酒店 ,0571-85866333,0571-88002888
杭州开元阳光休闲山庄  ,0571-82724178,0571-82716688
杭州绿宇休闲农庄 ,0571-82785830,0571-82675888
杭州曼格森酒店 ,0571-83876268,0571-83891888
杭州铭泰大酒店 ,0571-89980880,0571-28908888
杭州藕花洲假日酒店  ,0571-88988776,0571-88986999
杭州欧凯大酒店 ,0571-28110234,0571-28860777
杭州钱塘大厦（原杭州钱塘大酒店）  ,0571-86513388,0571-86516888
杭州瑞曼汀·明朗假日酒店 ,0571-81023788,0571-81023777
杭州瑞麒国际酒店 ,0571-28135799,0571-28282828
杭州宋城大饭店 ,0571-86068485,0571-56189999
杭州四季青大酒店  ,0571-86028839,0571-86025888
杭州三立大厦 ,0571-85176661,0571-85161818
杭州盛泉假日酒店 ,0571-88285355,0571-88285288
杭州圣栖·铭庭大酒店 ,0571-87788189,0571-81021999
杭州三台山庄  ,0571-87999398,0571-87975888
杭州叁益酒店 ,0571-83877699,0571-82688888
杭州天池宾馆 ,0571-88866888,0571-88866888
杭州天地人大酒店  ,0571-86220683,0571-89185888
杭州天海宾馆 ,0571-86457816,0571-86456888
杭州天鸿饭店  ,0571-88800789,0571-88268888
杭州天林尚高酒店 ,0571-83876899,0571-83890777
杭州铁流商务酒店 ,0571-86169822,0571-86239777
杭州湾大酒店  ,0571-86768886,0571-86768888
杭州五鑫宾馆 ,0571-89932224,0571-88852888
杭州香安国际酒店公寓（原蓝迪酒店公寓） ,0571-88225118,0571-81813333
杭州西部尚艾精品酒店 ,0571-28977918,0571-28973111
